,id,main_code,statistics_main_code,name,advisor,trustee,operate_mode_id,operate_mode,underlying_asset_type_id,underlying_asset_type,invest_style_id,invest_style,start_date,end_date
943,2800,004453,004453,前海开源盈鑫,前海开源基金管理有限公司,中国民生银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-03-21,
944,2801,004456,,兴银消费新趋势灵活配置,兴银基金管理有限责任公司,平安银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-06-15,
945,2813,004476,,景顺长城沪港深领先科技,景顺长城基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-07-07,
946,2814,004477,,嘉实沪港深回报混合,嘉实基金管理有限公司,中国银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-03-29,
947,2816,004480,,华宝智慧产业混合,华宝基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-05-04,
948,2817,004481,004481,华宝第三产业混合,华宝基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-05-25,
949,2827,004496,004496,前海开源多元策略混合,前海开源基金管理有限公司,交通银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-07-03,
950,2834,004505,004505,博时新兴消费主题混合,博时基金管理有限公司,中国银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-06-05,
951,2841,004521,004521,安信工业4.0混合,安信基金管理有限责任公司,上海浦东发展银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-07-20,
952,2846,004536,,嘉实中小企业量化活力,嘉实基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-07-04,
953,2852,004549,,富安达消费主题混合,富安达基金管理有限公司,交通银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-08-01,
954,2863,004573,,新华鑫泰,新华基金管理股份有限公司,招商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-08-09,
955,2877,004606,,上投优选多因子股票,上投摩根基金管理有限公司,中国银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-08-23,
956,2882,004616,004616,中欧电子信息产业沪港深股票,中欧基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-07-07,
957,2894,004640,004640,华夏节能环保股票,华夏基金管理有限公司,中国农业银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-08-11,
958,2911,004671,,中融核心成长,中融基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-09-29,
959,2914,004677,,博时战略新兴产业混合,博时基金管理有限公司,中国工商银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-08-09,
960,2917,004683,,建信高端医疗股票,建信基金管理有限责任公司,兴业银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-07-18,
961,2920,004686,,华夏研究精选股票,华夏基金管理有限公司,中国银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-09-06,
962,2925,004698,004698,博时军工主题股票,博时基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-07-04,
963,2927,004702,004702,南方金融主题灵活配置混合,南方基金管理股份有限公司,兴业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-08-03,
964,2928,004703,,南方兴盛混合,南方基金管理股份有限公司,中国银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-09-13,
965,2937,004716,004716,信诚量化阿尔法,中信保诚基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-07-12,
966,2942,004724,004724,先锋聚元,先锋基金管理有限公司,中国邮政储蓄银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-11-17,
967,2943,004726,004726,先锋聚优,先锋基金管理有限公司,交通银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-09-15,
968,2945,004730,,建信量化事件驱动股票,建信基金管理有限责任公司,中国国际金融股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-09-13,
969,2947,004734,004734,中欧瑾灵灵活配置混合,中欧基金管理有限公司,中信银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-12-01,
970,2965,004769,,申万菱信价值优先混合,申万菱信基金管理有限公司,中国农业银行股份有限公司,401001,开放式基金,402004,混合型,005005,偏股混合型,2017-12-14,
971,2973,004784,,招商稳健优选股票,招商基金管理有限公司,中国建设银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2017-09-20,
972,2979,004805,004805,长信消费精选量化股票,长信基金管理有限责任公司,中国工商银行股份有限公司,401001,开放式基金,402001,股票型,005001,普通股票型,2018-03-07,
